done,Library,API function:argument (-1 return),malloc size,file path,buffer (var len),length (var len),create,static,source,sink,init api
TRUE,c-ares,ares_parse_txt_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_uri_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_uri_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_uri_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_uri_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process_fd:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process_fd:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process_fd:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process_fd:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_process:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_query:5,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_save_options:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
